gene_name	Degree	log2FC	padj	pct	pct.dif	Degree_norm_0_100	pct.dif_norm_100	pct_norm_100	padj_log	padj_log_norm_100	log2FC_abs	log2FC_abs_norm_100	score_norm	TF
irx3a	5	-6.44240184690293	5.69644821783028e-07	0.004	0.0324675324675325	11.7647058823529	0	0	6.2443958459449	29.9187356537568	6.44240184690293	100	22.1221948978961	NO
kank1a	2	1.70553214033287	7.91960135532796e-34	0.54	2.41517857142857	2.94117647058824	12.7167697475407	57.0820021299255	15.653559774527	100	1.70553214033287	16.7159727968666	24.7849313195857	NO
lhx2b	5	2.0040576394365	2.65800627933144e-95	0.749	3.71287128712871	11.7647058823529	19.642686990034	79.3397231096912	15.653559774527	100	2.0040576394365	21.964672323833	33.5007382441212	NO
LHX2B	4	2.0040576394365	2.65800627933144e-95	0.749	3.71287128712871	8.82352941176471	19.642686990034	79.3397231096912	15.653559774527	100	2.0040576394365	21.964672323833	32.0301500088271	YES
LHX9	10	3.00579297695997	9.48776265496524e-107	0.479	6.15384615384615	26.4705882352941	32.6704166777744	50.5857294994675	15.653559774527	100	3.00579297695997	39.5772642397408	41.0894704197699	YES
lix1	2	2.37409313891189	1.99801363856153e-57	0.46	3.87394957983193	2.94117647058824	20.5023781259458	48.5623003194888	15.653559774527	100	2.37409313891189	28.4706664747147	26.1625063503128	NO
lmo4a	4	2.94649459875181	8.90728077601263e-83	0.502	4.53153153153153	8.82352941176471	24.0119594948845	53.0351437699681	15.653559774527	100	2.94649459875181	38.534675346713	31.359487032328	NO
nedd9	3	1.17602251280147	1.06667877224214e-10	0.449	1.78571428571429	5.88235294117647	9.35725520513983	47.3908413205538	9.97196544358384	57.6823916304169	1.17602251280147	7.40609159779548	18.1707489398265	NO
nid2a	1	1.29024762185191	6.72700678209065e-16	0.502	1.89811320754717	0	9.95713961640433	53.0351437699681	15.0483005824202	95.4919130156526	1.29024762185191	9.41440672545098	20.9873253909345	NO
nr2e1	4	1.5314259417325	2.85567990619729e-25	0.441	2.58479532163743	8.82352941176471	13.6220314945433	46.5388711395101	15.6535597739685	99.9999999958399	1.5314259417325	13.6548234981313	26.1387304718854	NO
NR2E1	4	1.5314259417325	2.85567990619729e-25	0.441	2.58479532163743	8.82352941176471	13.6220314945433	46.5388711395101	15.6535597739685	99.9999999958399	1.5314259417325	13.6548234981313	26.1387304718854	YES
nrxn1a	5	3.40768075417734	6.56416617775341e-118	0.361	9.28205128205128	11.7647058823529	49.3659637617409	38.0191693290735	15.653559774527	100	3.40768075417734	46.6432877201744	35.1359055425501	NO
ntn1a	1	1.11683512747132	5.09765110995664e-33	0.757	1.98950131233596	0	10.4448871725536	80.1916932907348	15.653559774527	100	1.11683512747132	6.36545419054708	24.6252543317294	NO
